Date,Open,High,Low,Close,Adj Close,Volume
2023-05-19,11061.75,11145.509765625,11034.6298828125,11091.3603515625,11091.3603515625,1162900
2023-05-22,11083.3798828125,11159.3095703125,11037.2099609375,11127.0400390625,11127.0400390625,1055500
2023-05-23,11124.259765625,11137.6298828125,11012.580078125,11012.580078125,11012.580078125,1054500
2023-05-24,10976.73046875,11028.5703125,10920.330078125,10920.330078125,10920.330078125,1075700
2023-05-25,10915.1201171875,10954.240234375,10801.2197265625,10896.580078125,10896.580078125,1162500
2023-05-26,10889.26953125,10926.83984375,10798.650390625,10909.650390625,10909.650390625,1118800
2023-05-29,10942.669921875,10961.7900390625,10790.5,10822.08984375,10822.08984375,1407400
2023-05-30,10799.400390625,10869.5498046875,10697.8701171875,10869.5498046875,10869.5498046875,1402000
2023-05-31,10849.8095703125,10849.8095703125,10732.419921875,10793.849609375,10793.849609375,1282600
2023-06-01,10758.8896484375,10913.6396484375,10735.509765625,10835.900390625,10835.900390625,1363100
2023-06-02,10875.3095703125,11012.5498046875,10875.3095703125,10998.0703125,10998.0703125,1308700
2023-06-05,10990.73046875,10990.73046875,10903.0498046875,10946.080078125,10946.080078125,1208600
2023-06-06,10928.509765625,10933.6103515625,10752.2197265625,10773.4501953125,10773.4501953125,1287700
2023-06-07,10783.3095703125,10799.4599609375,10681.48046875,10708.8203125,10708.8203125,981900
2023-06-08,10710.91015625,10775.33984375,10648.1396484375,10722.8701171875,10722.8701171875,1081100
2023-06-09,10733.51953125,10793.9296875,10697.3603515625,10793.9296875,10793.9296875,1346500
2023-06-12,10769.01953125,10914.6201171875,10752.009765625,10873.740234375,10873.740234375,1257200
2023-06-13,10855.4404296875,10963.650390625,10853.5703125,10955.9599609375,10955.9599609375,1198800
2023-06-14,10976.509765625,11034.1796875,10962.4501953125,10984.5595703125,10984.5595703125,1268800
2023-06-15,11011.9501953125,11185.6796875,11011.849609375,11182.9404296875,11182.9404296875,1340000
2023-06-16,11194.5498046875,11316.240234375,11183.7900390625,11306.5302734375,11306.5302734375,1307100
